equip,air,elecCost,dis,equipRef,ahu,rooftop,outside,lightsGroup,id,energy,power,lights,siteMeter,zone,geoStreet,geoState,metro,unit,regionRef,sitePoint,occupied,cur,primaryFunction,elecMeterLoad,geoCountry,geoPostalCode,his,stage,siteRef,elec,tz,kwSite,summary,temp,discharge,curVal,weatherRef,occupiedStart,yearBuilt,damper,occupiedEnd,heat,cool,meter,sp,cmd,tariffHis,return,sensor,fan,hisMode,phone,site,geoCoord,kind,navName,pressure,store,point,area,storeNum,hvac,geoAddr,geoCity,effective,enum,costPerHour,hisURI,weather,region
,,,"Carytown",,,,,,@p_demo_r_23a44701-a89a6c66 Carytown,,,,,,"3504 W Cary St","VA","Richmond",,@p_demo_r_23a44701-67faf4db Richmond,,,,"Retail Store",,"US",23221,,,,,"New_York",,,,,,"@p_demo_r_23a44701-1af1bca9 Richmond, VA",10:00:00,1996.0,,20:00:00,,,,,,,,,,,"804.552.2222",✓,"C(37.555385,-77.486903)",,,,✓,,3149.0ft²,1.0,,"3504 W Cary St, Richmond, VA","Richmond",,,,,,
,,,"Tariff His",@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,,,@p_demo_r_23a44701-bbc36976 Tariff His,,,,,,,,,,,,,,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,,,,,,,,,,,,,✓,,✓,,,,,,,,"Str",,,,✓,,,,,,,,,"p_demo_r_23a44701-bbc36976.zinc",,
,✓,,,@p_demo_r_23a44701-7265b064 Carytown RTU-1,,,,,@p_demo_r_23a44701-4ea35663 Carytown RTU-1 ZoneTempSp,,,,,✓,,,,"°F",@p_demo_r_23a44701-67faf4db Richmond,,,✓,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,,✓,,13,,,,,,,,,✓,,,,,,"cov",,,,"Number","ZoneTempSp",,,✓,,,,,,✓,,,"p_demo_r_23a44701-4ea35663.zinc",,
,,,,@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,,,@p_demo_r_23a44701-3940e690 Carytown ElecMeter-Main kW,,✓,,✓,,,,,"kW",@p_demo_r_23a44701-67faf4db Richmond,,,✓,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",✓,,,,12,,,,,,,,,,,,,✓,,"sampled",,,,"Number","kW",,,✓,,,,,,,,,"p_demo_r_23a44701-3940e690.zinc",,
,✓,,,@p_demo_r_23a44701-7265b064 Carytown RTU-1,,,,,@p_demo_r_23a44701-27a8a001 Carytown RTU-1 ZoneTemp,,,,,✓,,,,"°F",@p_demo_r_23a44701-67faf4db Richmond,,,✓,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,✓,✓,,2,,,,,,,,,,,,,✓,,"sampled",,,,"Number","ZoneTemp",,,✓,,,,,,,,,"p_demo_r_23a44701-27a8a001.zinc",,
✓,,,,,,,,,@p_demo_r_23a44701-3624929f Carytown Misc,,,,,,,,,,@p_demo_r_23a44701-67faf4db Richmond,✓,,,,,,,,,@p_demo_r_23a44701-a89a6c66 Carytown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Misc",,,,,,,,,,,,,,
,✓,,,@p_demo_r_23a44701-7265b064 Carytown RTU-1,,,,,@p_demo_r_23a44701-423ebf02 Carytown RTU-1 DischargeTemp,,,,,,,,,"°F",@p_demo_r_23a44701-67faf4db Richmond,,,✓,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,,✓,✓,23,,,,,,,,,,,,,✓,,"sampled",,,,"Number","DischargeTemp",,,✓,,,,,,,,,"p_demo_r_23a44701-423ebf02.zinc",,
,,,,@p_demo_r_23a44701-7265b064 Carytown RTU-1,,,,,@p_demo_r_23a44701-3a62fd7a Carytown RTU-1 Heat-2,,,,,,,,,,@p_demo_r_23a44701-67faf4db Richmond,,,✓,,@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,✓,2.0,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,✓,,,10,,,,,,✓,,,,✓,,,,,"cov",,,,"Bool","Heat-2",,,✓,,,,,,,"off,on",,"p_demo_r_23a44701-3a62fd7a.zinc",,
,,,,@p_demo_r_23a44701-7265b064 Carytown RTU-1,,,,,@p_demo_r_23a44701-18bbbd7e Carytown RTU-1 Heat-1,,,,,,,,,,@p_demo_r_23a44701-67faf4db Richmond,,,✓,,@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,✓,1.0,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,✓,,,14,,,,,,✓,,,,✓,,,,,"cov",,,,"Bool","Heat-1",,,✓,,,,,,,"off,on",,"p_demo_r_23a44701-18bbbd7e.zinc",,
,,✓,,@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,,,@p_demo_r_23a44701-f299239f Carytown ElecMeter-Main Cost,,,,✓,,,,,"$",@p_demo_r_23a44701-67faf4db Richmond,,,✓,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,,,,13,,,,,,,,,,,,,✓,,"sampled",,,,"Number","Cost",,,✓,,,,,,,,,"p_demo_r_23a44701-f299239f.zinc",,
,✓,,,@p_demo_r_23a44701-7265b064 Carytown RTU-1,,,,,@p_demo_r_23a44701-0144bdd8 Carytown RTU-1 DischargePressure,,,,,,,,,"inH₂O",@p_demo_r_23a44701-67faf4db Richmond,,,✓,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,,,✓,12,,,,,,,,,,,,,✓,,"sampled",,,,"Number","DischargePressure",✓,,✓,,,,,,,,,"p_demo_r_23a44701-0144bdd8.zinc",,
✓,,,,,,,,,@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,,✓,,,,,,@p_demo_r_23a44701-67faf4db Richmond,,,,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,✓,,,,,,,,,,,,,,✓,,,,,,,,,,,,"ElecMeter-Main",,,,,,,,,,,,"p_demo_r_23a44701-092f16fa.zinc",,
,,,,@p_demo_r_23a44701-7265b064 Carytown RTU-1,,,,,@p_demo_r_23a44701-e0edb850 Carytown RTU-1 Cool-2,,,,,,,,,,@p_demo_r_23a44701-67faf4db Richmond,,,✓,,@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,✓,2.0,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,✓,,,13,,,,,,,✓,,,✓,,,,,"cov",,,,"Bool","Cool-2",,,✓,,,,,,,"off,on",,"p_demo_r_23a44701-e0edb850.zinc",,
,,,,@p_demo_r_23a44701-3624929f Carytown Misc,,,,,@p_demo_r_23a44701-5c6fd964 Carytown Misc Occupancy,,,,,,,,,,@p_demo_r_23a44701-67faf4db Richmond,✓,✓,✓,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,,,,23,,,,,,,,,✓,,,,,,"cov",,,,"Bool","Occupancy",,,✓,,,,,,,"unocc,occ",,"p_demo_r_23a44701-5c6fd964.zinc",,
,,,,@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,,,@p_demo_r_23a44701-51b0b0ff Carytown ElecMeter-Main kWh,✓,,,✓,,,,,"kWh",@p_demo_r_23a44701-67faf4db Richmond,,,✓,,,,,✓,,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,,,,3,,,,,,,,,,,,,✓,,"sampled",,,,"Number","kWh",,,✓,,,,,,,,,"p_demo_r_23a44701-51b0b0ff.zinc",,
,,,,@p_demo_r_23a44701-7265b064 Carytown RTU-1,,,,,@p_demo_r_23a44701-81534688 Carytown RTU-1 Cool-1,,,,,,,,,,@p_demo_r_23a44701-67faf4db Richmond,,,✓,,@p_demo_r_23a44701-092f16fa Carytown ElecMeter-Main,,,✓,1.0,@p_demo_r_23a44701-a89a6c66 Carytown,,"New_York",,✓,,,3,,,,,,,✓,,,✓,,,,,"cov",,,,"Bool","Cool-1",,,✓,,,,,,,"off,on",,"p_demo_r_23a44701-81534688.zinc",,
